text,rating
"Nada especial, aunque el precio fue justo.",3.0
Superó mis expectativas totalmente.,5.0
Buen producto y excelente presentación. buen,4.0
Producto aceptable pero esperaba más.,2.0
Buen producto y excelente presentación.,4.0
Llegó a tiempo y funciona muy bien.,4.0
Demoraron demasiado y la calidad es horrible.,2.0
El producto llegó roto y sin garantía.,1.0
N0 cumplió del todo mis expectativas.,2.0
"Producto espectacular, muy recomendable.",5.0
Buena calidad y atención rápida.,5.0
Demoraron demasiado y la calidad es horrible.,1.0
Excelente atención y calidad superior.,5.0
"No está mal, pero no lo volvería a comprar.",2.0
Producto aceptable pero esperaba más. producto,2.0
Superó mis expectátivas totalmente.,5.0
"Producto espectácular, muy recomendable.",5.0
Muy conforme con lá compra.,4.0
Funciona correctamente sin sobresalir.,3.0
Funciona correctamente sin sobresalir. funciona,3.0
"Cumplió mis expectativas, lo recomiendo.",4.0
"Cumplió mis expectátivas, lo recomiendo.",4.0
Superó mis expectativas totalmente.,5.0
"Está bien, per0 no destaca.",3.0
"Pr0ducto espectacular, muy recomendable.",5.0
"Está bien, pero no destaca. está",3.0
Nunca más compraré aquí.,1.0
"Increíble experiencia, volveré a comprar.",5.0
Muy conforme con la compra. muy,4.0
"Increíble experiencia, volveré a comprar.",4.0
El servicio fue pésimo y la atención peor.,1.0
"Todo perfecto, rápido y confiable.",5.0
DEMORARON DEMASIADO Y LA CALIDAD ES HORRIBLE.,2.0
"No está mal, pero no lo volvería a comprar.",2.0
"Todo perfecto, rápido y confiable.",5.0
"MUY MALA EXPERIENCIA, NO LO RECOMIENDO.",1.0
El producto llegó roto y sin garantía.,1.0
El servici0 fue pésimo y la atención peor.,1.0
"La atención fue regular, podrían mejorar. la",2.0
Llegó a tiempo y funciona muy bien.,4.0
"Está bien, pero no destaca. está",3.0
Excelente atención y calidad superior.,5.0
Muy conforme con la compra. muy,5.0
"Experiencia neutra, cumple lo básico.",3.0
Superó mis expectátivas totalmente.,5.0
Excelente atención y calidad superi0r.,5.0
Buen pr0ducto y excelente presentación.,4.0
Buena calidad y atención rápida. buena,4.0
Excelente atención y calidad superior.,5.0
"La atención fue regular, p0drían mejorar.",2.0
"T0do perfecto, rápido y confiable.",5.0
Muy conforme con la compra.,4.0
Buená calidad y atención rápida.,4.0
"No está mal, pero no lo volvería a comprar. no",2.0
"Buená compra, aunque se puede mejorar.",3.0
"La atención fue regular, p0drían mejorar.",2.0
"Lá atención fue regular, podrían mejorar.",2.0
Nunca más c0mpraré aquí.,1.0
Superó mis expectativas totalmente.,4.0
Excelente atención y calidad superior.,5.0
EL PRODUCTO LLEGÓ ROTO Y SIN GARANTÍA.,1.0
"Buena compra, aunque se puede mejorar.",3.0
Superó mis expectativas totalmente.,5.0
Muy conforme con lá compra.,4.0
"Está bien, pero no destaca. está",3.0
"Todo perfecto, rápido y confiable.",5.0
Excelente atención y calidad superior.,5.0
Demoraron demasiado y la calidad es horrible. demoraron,1.0
"Nada especial, aunque el precio fue justo.",3.0
"Cumplió mis expectativas, l0 recomiendo.",4.0
"NO ESTÁ MAL, PERO NO LO VOLVERÍA A COMPRAR.",2.0
"Experiencia neutra, cumple lo básico. experiencia",3.0
"Nada especial, aunque el preci0 fue justo.",4.0
Buen producto y excelente presentación. buen,4.0
Excelente atención y calidad superior.,5.0
"Todo perfecto, rápido y confiable.",5.0
"Increíble experiencia, volveré a comprar.",5.0
"Experiencia neutra, cumple lo básico.",3.0
Muy conforme con lá compra.,4.0
Buena calidad y atención rápida.,4.0
Buen producto y excelente presentación. buen,4.0
Producto aceptable pero esperaba más.,2.0
El envío tárdó bastante.,2.0
El envío tardó bastante.,3.0
"Muy mala experiencia, no lo recomiendo. muy",1.0
Nunca más compraré aquí. nunca,1.0
Producto aceptable pero esperaba más.,2.0
"Pr0ducto espectacular, muy recomendable.",5.0
Llegó a tiempo y funciona muy bien. llegó,4.0
Superó mis expectativas totalmente.,5.0
Buena calidad y atención rápida.,4.0
El envío tárdó bastante.,2.0
"No está mál, pero no lo volvería a comprar.",2.0
"Experiencia neutra, cumple lo básico.",3.0
"Muy mala experiencia, no lo recomiendo.",1.0
"La atención fue regular, podrían mejorar.",2.0
"Todo perfecto, rápido y confiáble.",5.0
Superó mis expectativas totalmente.,5.0
"Buena c0mpra, aunque se puede mejorar.",2.0
Excelente atención y calidad superi0r.,5.0
Muy conforme con la compra.,3.0
Llegó á tiempo y funciona muy bien.,4.0
"Pr0ducto espectacular, muy recomendable.",5.0
El envío tárdó bastante.,2.0
"Todo perfecto, rápido y confiable.",5.0
"Muy mala experiencia, no lo recomiendo.!",1.0
Nunca más compraré aquí.,1.0
"No está mál, pero no lo volvería a comprar.",2.0
Excelente atención y calidad superi0r.,5.0
Excelente atención y calidad superior.,5.0
"Nada especial, aunque el preci0 fue justo.",3.0
"Increíble experiencia, v0lveré a comprar.",5.0
"Cumplió mis expectativas, l0 recomiendo.",4.0
"Cumplió mis expectátivas, lo recomiendo.",4.0
"Producto espectacular, muy recomendable. producto",5.0
"Está bien, pero no destáca.",3.0
Muy conforme con la compra.,4.0
Superó mis expectativas totalmente. superó,5.0
Excelente átención y calidad superior.,5.0
"Increíble experiencia, v0lveré a comprar.",5.0
"Pr0ducto espectacular, muy recomendable.",5.0
"Buena c0mpra, aunque se puede mejorar.",3.0
Muy conforme con la compra. muy,4.0
FUNCIONA CORRECTAMENTE SIN SOBRESALIR.,3.0
Muy conforme con lá compra.,4.0
N0 cumplió del todo mis expectativas.,2.0
"Producto espectácular, muy recomendable.",5.0
Muy conforme con la compra. muy,4.0
Buená calidad y atención rápida.,5.0
"No está mál, pero no lo volvería a comprar.",2.0
"Todo perfecto, rápido y confiable.",5.0
El producto llegó roto y sin garantía. el,1.0
"Experiencia neutra, cumple l0 básico.",3.0
Funciona correctamente sin sobresalir. funciona,3.0
"Producto espectacular, muy recomendable. producto",5.0
Excelente atención y calidad superior. excelente,5.0
DEMORARON DEMASIADO Y LA CALIDAD ES HORRIBLE.,1.0
"Producto espectacular, muy recomendable.",5.0
El envío tardó bastante. el,2.0
"Increíble experiencia, volveré a comprar. increíble",5.0
"Buena compra, aunque se puede mejorar. buena",3.0
FUNCIONA CORRECTAMENTE SIN SOBRESALIR.,3.0
Llegó a tiempo y funciona muy bien.,4.0
Superó mis expectativas t0talmente.,5.0
Dem0raron demasiado y la calidad es horrible.,1.0
"Experiencia neutra, cumple lo básico.",2.0
"Cumplió mis expectativas, lo recomiendo.",4.0
Funci0na correctamente sin sobresalir.,3.0
"La atención fue regular, podrían mejorar.",3.0
"Buena c0mpra, aunque se puede mejorar.",3.0
"La atención fue regular, podrían mejorar. la",2.0
El envío tardó bastante. el,2.0
"Todo perfecto, rápido y confiáble.",5.0
Dem0raron demasiado y la calidad es horrible.,1.0
"Todo perfecto, rápido y confiable.",5.0
"Todo perfecto, rápido y confiable. todo",5.0
"Está bien, pero no destaca. está",3.0
Buen producto y excelente presentáción.,4.0
FUNCIONA CORRECTAMENTE SIN SOBRESALIR.,3.0
Muy conforme con lá compra.,4.0
"Increíble experiencia, v0lveré a comprar.",5.0
"Producto espectacular, muy recomendable.!",5.0
"Experiencia neutra, cumple lo básico. experiencia",3.0
"Producto espectacular, muy recomendable.",5.0
Superó mis expectativas totalmente.,5.0
"Experiencia neutra, cumple lo básico. experiencia",3.0
Muy conforme con lá compra.,4.0
Nunca más compraré aquí. nunca,1.0
"No está mal, pero no lo volvería a comprar. no",3.0
Producto aceptable pero esperaba más. producto,2.0
Demoraron demasiado y la calidad es horrible.,1.0
"T0do perfecto, rápido y confiable.",4.0
"Buena compra, aunque se puede mejorar.",3.0
"Está bien, pero no destaca.",3.0
Producto áceptable pero esperaba más.,2.0
"Cumplió mis expectativas, lo recomiendo.",4.0
"Increíble experiencia, volveré a comprar.",5.0
"Producto espectacular, muy recomendable. producto",5.0
Superó mis expectátivas totalmente.,5.0
"Increíble experiencia, volveré a comprar.",5.0
"Buena c0mpra, aunque se puede mejorar.",3.0
Buen producto y excelente presentación. buen,4.0
SUPERÓ MIS EXPECTATIVAS TOTALMENTE.,5.0
Llegó a tiempo y funciona muy bien. llegó,4.0
"Todo perfecto, rápido y confiable.",5.0
"Increíble experiencia, volveré a comprar.",5.0
"T0do perfecto, rápido y confiable.",5.0
"Cumplió mis expectativas, lo recomiendo. cumplió",4.0
El envío tardó bastante. el,2.0
"Muy mala experiencia, no lo recomiendo.",
"Producto espectácular, muy recomendable.",5.0
Llegó á tiempo y funciona muy bien.,4.0
Excelente átención y calidad superior.,5.0
"Experiencia neutra, cumple l0 básico.",3.0
Superó mis expectativas totalmente. superó,5.0
El producto llegó roto y sin garantía. el,1.0
El producto llegó roto y sin garantía. el,1.0
Dem0raron demasiado y la calidad es horrible.,1.0
"Increíble experienciá, volveré a comprar.",5.0
"No está mal, pero no lo volvería a comprar.",2.0
"Cumplió mis expectátivas, lo recomiendo.",4.0
Buena calidad y atención rápida.,4.0
"Experienciá neutra, cumple lo básico.",3.0
Demoraron demasiado y la calidad es horrible.,1.0
"Increíble experienciá, volveré a comprar.",5.0
"N0 está mal, pero no lo volvería a comprar.",3.0
Muy conforme con lá compra.,4.0
No cumplió del todo mis expectativas.!,2.0
Muy conforme con la compra.,3.0
El envío tardó bastante.,2.0
Excelente atención y calidad superior.,5.0
"Cumplió mis expectativas, lo recomiendo.",4.0
Superó mis expectativas totalmente.,5.0
Buená calidad y atención rápida.,4.0
N0 cumplió del todo mis expectativas.,2.0
"T0do perfecto, rápido y confiable.",5.0
Llegó a tiemp0 y funciona muy bien.,4.0
Excelente átención y calidad superior.,5.0
"Náda especial, aunque el precio fue justo.",3.0
"T0do perfecto, rápido y confiable.",5.0
Buen producto y excelente presentación.,4.0
"Experiencia neutra, cumple lo básico.",3.0
"Nada especial, aunque el precio fue justo. nada",3.0
Dem0raron demasiado y la calidad es horrible.,1.0
"Está bien, pero no destáca.",3.0
Excelente atención y calidad superior.,5.0
"Buená compra, aunque se puede mejorar.",3.0
"MUY MALA EXPERIENCIA, NO LO RECOMIENDO.",1.0
"La atención fue regular, podrían mejorar.!",2.0
"Todo perfecto, rápido y confiáble.",5.0
,2.0
"Producto espectacular, muy recomendable. producto",5.0
"N0 está mal, pero no lo volvería a comprar.",2.0
Llegó a tiempo y funciona muy bien.,4.0
"Náda especial, aunque el precio fue justo.",3.0
"BUENA COMPRA, AUNQUE SE PUEDE MEJORAR.",3.0
"Cumplió mis expectativas, lo recomiendo. cumplió",4.0
No cumplió del todo mis expectativas.,1.0
Demoraron demasiado y la calidad es horrible.,1.0
El envío tárdó bastante.,2.0
Buen pr0ducto y excelente presentación.,4.0
Producto aceptable pero esperaba más. producto,2.0
"Está bien, pero no destaca.",3.0
Funciona correctamente sin sobresalir. funciona,3.0
"Buena c0mpra, aunque se puede mejorar.",2.0
Excelente atención y calidad superior.,5.0
Superó mis expectátivas totalmente.,5.0
"EXPERIENCIA NEUTRA, CUMPLE LO BÁSICO.",3.0
Superó mis expectativas t0talmente.,5.0
EL SERVICIO FUE PÉSIMO Y LA ATENCIÓN PEOR.,1.0
Excelente atención y calidad superior.,5.0
Buen producto y excelente presentáción.,4.0
Muy conforme con lá compra.,4.0
Muy c0nforme con la compra.,4.0
Funciona correctamente sin sobresalir.,3.0
"Todo perfecto, rápido y confiáble.",5.0
No cumplió del todo mis expectátivas.,2.0
Buen producto y excelente presentación.!,4.0
"Buena compra, aunque se puede mejorar.",3.0
"Experiencia neutra, cumple lo básico.",3.0
